   ,DEL_DATE,SHOP_CODE,MATERIAL,EFF_DURATION,DELAY_FROM,DELAY_TO,DELAY_DURN,CUM_DELAY,EQPT,SUB_EQPT,EFF_DURN
46522,4/1/2004,2,SMS-LS,3.166667,22,1.1,3.1,3.1,WBRC,CO-69,3.166667
46765,3/30/2004,2,I-O-L,9,10,19,9,9,others,"CO-7,10,15",9
46803,3/29/2004,2,BF-DOL,0.333333,21.3,21.5,0.2,0.2,OT-3,CO-2,0.333333
46901,3/28/2004,2,I-O-F,5.333333,15.4,21,5.2,5.2,BRC,CO-34,5.333333
46965,3/28/2004,2,BF-COK,1.5,6,7.3,1.3,1.3,LOCP,CO-36,1.5
47916,3/20/2004,2,I-O-F,12,6,18,12,14.15,LOCP,CO-36,12
48959,3/12/2004,2,others,2.25,3.45,6,2.15,2.15,LOCP,CO-36,2.25
49689,3/6/2004,2,others,8.5,9.3,18,8.3,8.3,others,"CO-6,9,12",8.5
50932,2/25/2004,2,I-O-F,9,9,18,9,9,BRC,CO-32,9
50945,2/25/2004,2,others,9,9,18,9,9,BRC,CO-34,9
52381,2/14/2004,2,others,9,9,18,9,9,BRC,"CO-63,69",9
53538,2/6/2004,2,others,9.5,9,18.3,9.3,9.3,others,CO-17,9.5
53606,2/5/2004,2,I-O-L,9.833333,10,19.5,9.5,9.5,others,"CO-6,9,12",9.833333
55936,1/18/2004,2,others,8.5,10,18.3,8.3,8.3,others,CO-5,8.5
57489,1/6/2004,2,others,2.5,6,8.3,2.3,2.45,others,CO-66,2.5
57670,1/5/2004,2,others,1.166667,18.3,19.4,1.1,1.1,WBRC,CO-25,1.166667
57671,1/5/2004,2,others,9,9,18,9,9,BRC,CO-31,9
57687,1/5/2004,2,others,9,9,18,9,9,WBRC,CO-25,9
59175,12/25/2003,2,BF-COK,4.5,9.3,14,4.3,4.3,others,"CO-6,8,13",4.5
59220,12/24/2003,2,others,0.25,5.45,6,0.15,0.15,others,CO-66,0.25
59474,12/23/2003,2,I-O-F,10.416667,17.05,3.3,10.25,10.25,LOCP,CO-20,10.416667
59869,12/20/2003,2,others,1,9.3,10.3,1,1,others,CO-64,1
